id,modality,category,signal,signal_id,target_primitive,controlled_property,transform,determinism_class,source_file,determinism_evidence,perceptual_basis
M011,visual,spectral_band,"currentBands[2..4]","S03,S04,S05",InkBleed,inter-bleed interval (s),"interval = 1.1 - 0.80 * gate",pure,Views/Visualizer/Textures/InkBleedTexture.swift,Linear; clamped to 0.30s minimum at gate=1.0.,Stronger melodic mid energy => faster bleed cadence.
M012,visual,spectral_band,"currentBands[5..6]","S06,S07",Aurora,sky-energy scalar,"sky = max(B[6]*m[6], B[5]*m[5]*0.8, B[4]*m[4]*0.6); gate at sky > 0.06",pure,Views/Visualizer/Textures/AuroraTexture.swift,max() of weighted bands; no random.,Brilliance/presence map to ribbon prominence in the SKY zone.
M013,visual,spectral_band,currentBands[7],S08,Frost,visibility gate,"draw if (B[7] * bandMask[7]) > 0.04",pure,Views/Visualizer/Textures/FrostTexture.swift,Threshold compare.,Below ~4% ultra-high there is effectively no shimmer to render.
M014,visual,spectral_band,currentBands[7],S08,Frost,speck radius (pt),"radius = (0.7 + B[7] * 2.4 * emphasis) * envelope; emphasis in {0.45, 1.0}",pure,Views/Visualizer/Textures/FrostTexture.swift,Closed-form per speck; emphasis fixed at spawn.,Loud cymbal => bigger sparkle; matches perceptual size of the transient.
M015,visual,spectral_band,currentBands[7],S08,Frost,alpha base,"alpha = clamp((0.20 + 0.70*B[7]) * emphasis * envelope, 0, alphaCap); alphaCap = 0.80 (chorus/drop) else 0.55",pure,Views/Visualizer/Textures/FrostTexture.swift,Per-frame multiplication and clamp; cap is a section constant.,Hard upper bound prevents Frost from outshouting volumetric textures.
M016,visual,spectral_shape,currentEnergy,S09,AtmosphereBackdrop,center brightness lift,"lift = 1.0 + clamp(E, 0, 1) * 0.12; center.b = scheme.primary.b * 0.42 * lift",pure,Views/Visualizer/VisualizerRoot.swift,Linear closed-form; no state.,Loud songs feel brighter overall without any specific texture having to fire.
M017,visual,spectral_shape,currentFlux,S10,FilmGrain,opacity floor,"opacity = max(dialect.grainOpacity, min(0.35, dialect.grainOpacity + F * 0.35))",pure,Views/Visualizer/Textures/FilmGrainTexture.swift,Bounded above at 0.35.,Spectral disorder maps to noise opacity; section dialect supplies the floor.
M018,visual,spectral_shape,currentFlux,S10,FilmGrain (Metal shader),grain shader strength uniform,"shaderStrength = Float(opacity * 2.6)",pure,Views/Visualizer/Shaders/Textures.metal,Single uniform value derived from opacity.,Decouples shader-internal jitter amplitude from rendered alpha.
M019,visual,spectral_shape,currentFlux,S10,ThermalShimmer,distortion strength (px),"strength contribution += F * 2.8 (pre-clamp)",pure,Views/Visualizer/Textures/ThermalShimmerTexture.swift,Additive linear contribution.,Spectral instability bends the scene like heat distortion.
M020,visual,spectral_shape,currentFlux,S10,FluxShatter,shard intensity per shard,"intensity = max(0.35, F) (snapshot at burst time)",event-driven,Views/Visualizer/Textures/FluxShatterTexture.swift,Value sampled at counter increment.,Stronger spikes produce visibly brighter slashes.
M021,visual,spectral_shape,fluxSpikeGeneration,S11,FluxShatter,burst trigger,"emit 3 + int(F*5) shards on each counter increment",event-driven,Views/Visualizer/Textures/FluxShatterTexture.swift,Detector uses adaptive threshold + cooldown; same flux trace => same spike timestamps.,"Snare/clap-class transients that BeatEvents miss; third discrete event channel."
M022,visual,spectral_shape,fluxSpikeGeneration,S11,FluxShatter,shard placement,"u = uniform(0.05, 0.95); v = uniform(0.46, 0.54); angle = uniform(-pi/6, pi/6)",structural,Views/Visualizer/Textures/FluxShatterTexture.swift,Spike timing deterministic; bounded random within HORIZON_BAND for layout.,Slashes confined to HORIZON_BAND so the event channel has a fixed visual address.
M023,visual,spectral_shape,currentCentroidNormalized,S12,Ember,onset seed v,"v = clamp(0.85 - 0.7*CN + jitter(-0.04, 0.04), activeVBounds)",structural,Views/Visualizer/Textures/EmberTexture.swift,CN deterministically chooses zone; +/-0.08 jitter is bounded cosmetic.,"Embodiment: kick (CN ~ 0.1) erupts near v=0.78; hihat (CN ~ 0.9) flashes near v=0.22."
M024,visual,spectral_shape,currentCentroidNormalized,S12,Ember,onset seed u,"u = clamp(activeULo + CN*range + frac(seed*3.1)*0.3 - 0.15, activeULo, activeUHi)",structural,Views/Visualizer/Textures/EmberTexture.swift,CN biases u; jitter via deterministic golden-ratio frac of onset.time => identical playback => identical u.,Brighter onsets pan right; per-onset spread is reproducible across replays.
M025,visual,spectral_shape,currentCentroidNormalized,S12,Frost,respawn vertical center,"v_center = 0.05 + 0.25 * (1 - CN); +/- 0.06 v jitter at respawn",structural,Views/Visualizer/Textures/FrostTexture.swift,Centroid choice of zone deterministic; per-respawn jitter only within +/-6% v.,Brighter spectrum lifts specks toward v=0.05; duller spectrum sinks them to ~0.30.
M026,visual,spectral_shape,currentCentroidNormalized,S12,SpectralStaircase,active rung index,"activeIdx = CN * 7.0 (continuous); per-rung brightness via gaussian falloff",pure,Views/Visualizer/Textures/SpectralStaircaseTexture.swift,Continuous mapping; no random.,Discrete 8-rung dashboard reads centroid as a level meter.
M027,visual,spectral_shape,currentCentroidNormalized,S12,ConsonanceLattice,cell vertical-cluster bias,"vMixed = uniformV * (1 - HR*0.6) + (1 - CN) * (HR*0.6)",pure,Views/Visualizer/Textures/ConsonanceLatticeTexture.swift,Algebraic blend; no random.,Bright spectrum + harmonic music pushes the lattice cluster upward.
M028,visual,harmonic,currentHue,S13,KeyRail,active marker y,"markerY = barTop + H * (barBot - barTop)",pure,Views/Visualizer/Textures/KeyRailTexture.swift,Single-input single-output linear map.,"Persistent dashboard: 'song is in F# right now' = which stop is glowing."
M029,visual,harmonic,currentHue,S13,KeyRail,12 stop colors,"stop[i] = HSB(h: i/12, s: 0.65 + 0.20*CS, b: 0.80) for i in 0..11",pure,Views/Visualizer/Textures/KeyRailTexture.swift,Stop palette is fixed function of CS; positions never move.,12 pitch classes hold fixed positions so position becomes a learnable code.
M030,visual,harmonic,currentHue,S13,ChromaSlick,triad hue stops,"stops at H, H+0.33, H+0.66 (mod 1)",pure,Views/Visualizer/Textures/ChromaSlickTexture.swift,Modular addition; identical H => identical triad.,Iridescent thin-film triad encodes the song's harmonic root.
M031,visual,harmonic,currentHue,S13,ChromaSlick,perimeter rotation rate,"rotationRate = 0.02 * (1 + CS) Hz",pure,Views/Visualizer/Textures/ChromaSlickTexture.swift,"Rotation phase closed-form in (t, CS).",Tonal music spins the triad faster; rotation speed encodes confidence.
M032,visual,harmonic,currentHue,S13,InkBleed,ambient seed u,"u = clamp(0.5 + (H - 0.5) * 0.6, activeULo+0.05, activeUHi-0.05)",pure,Views/Visualizer/Textures/InkBleedTexture.swift,Algebraic single-input.,Key modulation pans the melodic body horizontally; left/right drift = chord change.
M033,visual,harmonic,currentHue,S13,Smoke,atmosphere hue pull,"atmo = lerp(scheme.atmosphere, HSB(H, 0.55, 0.85), min(1, CS * 0.4))",pure,Views/Visualizer/Textures/SmokeTexture.swift,Hue lerp shortest-path; identical inputs => identical outputs.,Tonal passages tint the bass mass with the song's key.
M034,visual,harmonic,currentHue,S13,Ember,birth hue branch,"if CS > 0.4: birthHue = HSB(H, 0.85, 1.0); else: birthHue = scheme.accent",pure,Views/Visualizer/Textures/EmberTexture.swift,Discrete branch on a single threshold.,Tonal attacks ignite in the song's key; noisy attacks ignite in the emotional accent.
M035,visual,harmonic,currentHue,S13,Aurora,ribbon color blend,"color = lerp(schemeCycleColor, HSB(H, 0.8, 1.0), min(1, CS * 0.4))",pure,Views/Visualizer/Textures/AuroraTexture.swift,Lerp blend after deterministic cycle interpolation.,Ribbons take the key tint when tonal; pure scheme cycle when atonal.
M036,visual,harmonic,currentHue,S13,Frost,speck tint,"tint = lerp(coldBase, HSB(H, 0.25, 1.0), min(1, CS * 0.6))",pure,Views/Visualizer/Textures/FrostTexture.swift,Standard lerp.,Ultra-high tonal => faint key tint on the shimmer; noisy => near-white.
M037,visual,harmonic,currentHue,S13,LightRay,core color,"if CS > 0.5: core = lerp(scheme.accent, HSB(H, 0.85, 1.0), 0.30); else: core = scheme.accent",pure,Views/Visualizer/Textures/LightRayTexture.swift,Branch + lerp.,Rays as 'punch' carry the key's color when tonal.
M038,visual,harmonic,currentHue,S13,GlowPulse,downbeat ripple color,"rippleColor = lerp(scheme.accent, HSB(H, 0.85, 1.0), min(1, CS * 0.5))",pure,Views/Visualizer/Textures/GlowPulseTexture.swift,Lerp.,Downbeats are emphasis; key tint makes the emphasis specific.
M039,visual,harmonic,currentHue,S13,VelvetDarkness,floor-glow tint,"glow = lerp(scheme.atmosphere, HSB(H, 0.6, 0.9), min(1, CS * 0.3))",pure,Views/Visualizer/Textures/VelvetDarknessTexture.swift,Lerp.,Even the deepest layer carries a residue of the song's key when tonal.
M040,visual,harmonic,currentChromaStrength,S14,ChromaSlick,visibility gate + alpha,"draw if CS > 0.2; alpha = min(0.45, (CS - 0.2) * 1.5)",pure,Views/Visualizer/Textures/ChromaSlickTexture.swift,Single threshold + linear ramp.,Disappears in atonal sections so harmonic/atonal boundary is visible on the frame.
M041,visual,harmonic,currentChromaStrength,S14,KeyRail,visibility gate + saturation,"draw if CS > 0.05; rail saturation = 0.65 + 0.20 * CS",pure,Views/Visualizer/Textures/KeyRailTexture.swift,Threshold + linear.,Atonal music => grayscale rail; rail stops shouting a key it can't read.
M042,visual,harmonic,currentChromaStrength,S14,(multi),hue-pull weight,"each hue-pull texture multiplies its tint amount by CS * factor (factor in {0.3, 0.4, 0.5, 0.6})",pure,various,Per-texture constant multiplier.,Tonality scales how much every texture borrows the key's color.
M043,visual,harmonic,currentHarmonicRatio,S15,InkBleed,slow-attack onset gate,"emit on onset only if onset.sharpness < 0.50 AND HR > 0.35",pure,Views/Visualizer/Textures/InkBleedTexture.swift,Two thresholds; no random.,Slow attacks in harmonic context spawn bleeds; sharp/noisy onsets become Embers instead.
M044,visual,harmonic,currentHarmonicRatio,S15,InkBleed,blob aspect ratio,"aspect = 1.0 + 1.2 * (1 - HR)",pure,Views/Visualizer/Textures/InkBleedTexture.swift,Linear in HR.,Pitched mids form round bleeds (HR=1 => 1.0); noise smears them sideways (HR=0 => 2.2).
M045,visual,harmonic,currentHarmonicRatio,S15,Aurora,ribbon count,"ribbonCount = clamp(ceil(A*3 + HR*2), 1, mirrorX ? 5 : 3)",pure,Views/Visualizer/Textures/AuroraTexture.swift,Closed-form; clamps to integer.,Harmonic richness adds layered tonal energy; noise suppresses ribbon count.
M046,visual,harmonic,currentHarmonicRatio,S15,Aurora,sway amplitude,"amp += size.height * 0.03 * (1 - HR)",pure,Views/Visualizer/Textures/AuroraTexture.swift,Additive linear.,Noise adds turbulence to the flow; harmony lets ribbons drift smoothly.
M047,visual,harmonic,currentHarmonicRatio,S15,Smoke,lateral slosh amplitude,"swayAmp = 0.15 * (1 - HR); slosh = sin(t*0.3 + layer) * swayAmp",integrative,Views/Visualizer/Textures/SmokeTexture.swift,"Time-driven sin with HR-controlled amplitude; deterministic in (t, HR).",Noise = lateral motion; harmony = stillness.
M048,visual,harmonic,currentHarmonicRatio,S15,ConsonanceLattice,cell count,"cellCount = 6 + int(HR * 8.0)",pure,Views/Visualizer/Textures/ConsonanceLatticeTexture.swift,Integer floor of linear function.,Cleaner spectrum produces a denser lattice; noise reduces it.
M049,visual,harmonic,currentHarmonicRatio,S15,ConsonanceLattice,edge alpha,"edgeAlpha = (0.18 + 0.45*HR) * HR",pure,Views/Visualizer/Textures/ConsonanceLatticeTexture.swift,Quadratic; collapses to 0 at HR=0.,Edges fade to nothing as music turns inharmonic - structure literally dissolves.
M050,visual,harmonic,currentHarmonicRatio,S15,ConsonanceLattice,cell blur (pt),"blurRadius = 2.0 + (1 - HR) * 6.0",pure,Views/Visualizer/Textures/ConsonanceLatticeTexture.swift,Linear inverse.,Noise blurs the lattice into mush; harmony keeps cells crisp.
M051,visual,gesture,currentPitchDirection,S16,LightRay,origin point,"originU = 0.5 + PD * 0.15; originV = 0.7 - PD * 0.35",pure,Views/Visualizer/Textures/LightRayTexture.swift,Two linear maps from PD.,"Origin traces pitch motion: rising melody => up-right anchor, falling => down-left."
M052,visual,gesture,currentPitchDirection,S16,LightRay,cone direction,"if PD > 0.08: -pi/2 dir, 0.55*pi half-cone; if PD < -0.08: +pi/2 dir, 0.55*pi half; else: 0 dir, pi half (radial)",pure,Views/Visualizer/Textures/LightRayTexture.swift,Discrete branch on |PD| threshold.,Strong direction => directed cone; static pitch => symmetric radial bloom.
M053,visual,gesture,currentPitchDirection,S16,Smoke,drift speed,"driftSpeed = 0.12 + 0.08 * mass - 0.3 * PD",pure,Views/Visualizer/Textures/SmokeTexture.swift,Linear combination.,Rising pitch slows the drift ('smoke holds'); falling pitch accelerates settling.
M054,visual,emotion,smoothedValence,S17,ValenceGradient,warm/cool diagonal alphas,"warmAlpha = V * A * 0.45; coolAlpha = (1 - V) * A * 0.45",pure,Views/Visualizer/Textures/ValenceGradientTexture.swift,Pair of linear products.,"Happy => warm diagonal lights up; sad => cool. Persistent compositional bias, not motion."
M055,visual,emotion,smoothedValence,S17,FilmGrain,cool tint strength,"tintStrength = clamp((0.5 - V) * 0.8, 0, 0.40)",pure,Views/Visualizer/Textures/FilmGrainTexture.swift,Clamped linear.,Anxiety/sadness gives noise an uncanny cool cast; neutral+ keeps grain colorless.
M056,visual,emotion,smoothedValence,S17,InkBleed,ambient seed v,"vCenter = 0.5 - V * 0.25 + (1 - A) * 0.10 (clamped to active V bounds)",pure,Views/Visualizer/Textures/InkBleedTexture.swift,Algebraic.,Positive valence lifts the bleed; low arousal settles it.
M057,visual,emotion,smoothedArousal,S18,ValenceGradient,bloom radius,"radius = minDim * (0.10 + 0.15 * A)",pure,Views/Visualizer/Textures/ValenceGradientTexture.swift,Linear.,Arousal opens the corner blooms wider; calm contracts them.
M058,visual,emotion,smoothedArousal,S18,Aurora,color cycle speed,"speedMult = 0.8 + A * 1.4; cyclePeriod = 6.0 / speedMult",pure,Views/Visualizer/Textures/AuroraTexture.swift,Inverse linear.,Calm => 7.5s cycle; intense => 2.7s.
M059,visual,emotion,smoothedArousal,S18,LightRay,ray count,"rayCount = clamp(12 + int(round(A * 10)), 8, 22)",pure,Views/Visualizer/Textures/LightRayTexture.swift,Integer round + clamp.,Discrete ray density encodes arousal level at a glance.
M060,visual,emotion,smoothedArousal,S18,SpectralStaircase,brightness falloff sigma,"sigma = 0.7 + 1.3 * A; brightness[i] = exp(-(i - activeIdx)^2 / sigma^2)",pure,Views/Visualizer/Textures/SpectralStaircaseTexture.swift,Closed-form gaussian.,"Calm = sharp single rung; intense = blurred wide spread."
M061,visual,emotion,smoothedArousal,S18,VelvetDarkness,breath frequency,"breathHz = 0.4 + A * 0.5",pure,Views/Visualizer/Textures/VelvetDarknessTexture.swift,Linear; phase deterministic in t.,"Calm = 2.5s heartbeat; intense = 1.1s breath. The dark itself breathes with the song."
M062,visual,emotion,biomeWeights,S19,HybridEmotionPalette,base palette (4 HSB anchors),"palette = sum(weight_i * anchor_i HSB) for i in 4 biomes; anchors are constants",integrative,Visuals/HybridEmotionPalette.swift,"Hysteresis state explicit (dominantBiome, dominantBiomeSince); same (V,A) trajectory => same palette.",Single source of truth for color slots consumed by every texture downstream.
M063,visual,rhythm,beatPulse,S20,GlowPulse,trigger gate,"draw if pulse > 0.35",integrative,Views/Visualizer/Textures/GlowPulseTexture.swift,Pulse decay closed-form exponential of dt.,Faint sub-beats filtered out; only legible beats flash.
M064,visual,rhythm,beatPulse,S20,GlowPulse,bloom radius,"radius = minDim * (isHeavy ? 0.55 : 0.30) * pulse; isHeavy = pulse > 0.85",integrative,Views/Visualizer/Textures/GlowPulseTexture.swift,Branch on pulse magnitude (downbeat detection); radius linear in pulse.,Downbeats reach further visually; offbeats stay local.
M065,visual,rhythm,beatPulse,S20,GlowPulse,core alpha,"alpha = 0.15 * pulse",integrative,Views/Visualizer/Textures/GlowPulseTexture.swift,Linear in pulse.,Visible weight scales with beat strength; capped peak prevents overpowering the scene.
M066,visual,attack,onsetGeneration / lastOnset,S22,Ember,emission gate,"emit only if onset.sharpness >= 0.45",event-driven,Views/Visualizer/Textures/EmberTexture.swift,Counter increments deterministically when sortedOnsets[i].time <= currentTime.,Sharp transients become embers; slow attacks fall through to InkBleed.
M067,visual,attack,onsetGeneration / lastOnset,S22,Ember,emission count,"count = 6 + int(onset.sharpness * 12)",event-driven,Views/Visualizer/Textures/EmberTexture.swift,Closed-form per onset.,Sharper attacks produce denser bursts.
M068,visual,attack,onsetGeneration / lastOnset,S22,Ember,particle initial speed,"speed = 120 + Random(0..180) * onset.sharpness (px/s)",structural,Views/Visualizer/Textures/EmberTexture.swift,Per-particle Random is the only stochastic component; envelope deterministic.,Sharper attacks eject faster; randomization spreads the burst (cosmetic).
M069,visual,attack,onsetGeneration / lastOnset,S22,InkBleed,slow-attack spawn,"spawn 1 bleed if onset.sharpness < 0.50 AND HR > 0.35",event-driven,Views/Visualizer/Textures/InkBleedTexture.swift,Two-condition gate; both deterministic.,"Bowed strings, pads, sustained notes spread rather than strike."
M070,visual,structure,currentSectionLabel,"S23,S24",SectionDialect,enabledTextures,"static Set<TextureID> per label (intro: 6, verse: 13, chorus: 17, bridge: 10, break: 6, drop: 17, outro: progress-interpolated)",pure,Views/Visualizer/Narrative/SectionDialectResolver.swift,Switch on label string; outro is the only progress-interpolated branch (deterministic in p).,Sections reshape the active texture set per song-structural region.
M071,visual,structure,currentSectionLabel,"S23,S24",SectionDialect,bandMask (8 multipliers),"static [Double] per label; outro multiplies by (1 - p*0.7) over progress",pure,Views/Visualizer/Narrative/SectionDialectResolver.swift,Constant arrays per label.,Section-specific frequency emphasis (e.g. break suppresses everything but sub-bass).
M072,visual,structure,currentSectionLabel,"S23,S24",EmotionScheme.transformed,palette saturation/brightness/hueShift,"per-section constants applied as palette-wide HSB multipliers / shifts",pure,Visuals/HybridEmotionPalette.swift,Linear HSB transforms with constants per section.,"Choruses pop, bridges rotate hue, breaks desaturate."
M073,both,structure,DropChoreography state,S25,DropChoreography,three-phase trigger,"trigger on rising edge into 'drop' label OR (smoothedArousal>0.82 AND flux>0.75 AND energy>0.70); 4s cooldown",integrative,Views/Visualizer/Narrative/DropChoreography.swift,"Explicit state machine with phaseStarted, lastTriggerTime, releaseGeneration counter.",Drop is a scored moment; dual trigger catches drops the section detector misses.
M074,haptic,spectral_band,currentBands[0]+currentBands[1],"S01,S02",Hum (continuous),"intensity (CHHapticIntensityControl)","target = clamp((B[0]+B[1])*0.7, 0..1) * 0.55; smoothedHum = 0.12*target + 0.88*smoothedHum",integrative,Haptics/HapticVocabulary.swift,First-order IIR with fixed coefficients; same input sequence => same trajectory.,Cap at 0.55 prevents masking transients; EMA kills frame-jitter so the motor doesn't buzz.
M075,haptic,rhythm,BeatEvent (downbeat),S21,Beats voice,"CHHapticTransient intensity","intensity = clamp(beat.intensity * userMul * 1.25, 0.30, 1.0); userMul in {0.65, 1.0, 1.28}",event-driven,Haptics/HapticVocabulary.swift,Cursor-walked at AudioPlayer tick; userMul is a UserDefaults constant.,Downbeats need physical weight; clamp at 0.30 floor ensures even quiet downbeats are felt.
M076,haptic,rhythm,BeatEvent (downbeat),S21,Beats voice,"CHHapticTransient sharpness","sharpness = clamp(beat.sharpness + 0.20, 0, 1)",event-driven,Haptics/HapticVocabulary.swift,Closed-form +0.20 offset.,Downbeats feel sharper than offbeats.
M077,haptic,rhythm,BeatEvent (regular),S21,Beats voice,"CHHapticTransient intensity","intensity = clamp(beat.intensity * userMul * 0.70, 0.15, 1.0)",event-driven,Haptics/HapticVocabulary.swift,Same multiplier convention as downbeat with reduced gain.,Offbeats lighter than downbeats; saturation prevention for the motor.
M078,haptic,rhythm,BeatEvent (regular),S21,Beats voice,"CHHapticTransient sharpness","sharpness = clamp(beat.sharpness * 0.85, 0, 1)",event-driven,Haptics/HapticVocabulary.swift,Multiplicative scale.,Slightly softer edge than downbeats.
M079,haptic,attack,OnsetEvent,S22,Onsets voice,"CHHapticTransient intensity","intensity = clamp(onset.intensity * userMul * 0.45, 0.08, 1.0)",event-driven,Haptics/HapticVocabulary.swift,Linear with hard floor.,Onsets and beats overlap; firing both at full strength saturates the motor.
M080,haptic,attack,OnsetEvent,S22,Onsets voice,"CHHapticTransient sharpness","sharpness = clamp(max(onset.sharpness * 0.7, min(1, onset.attackSlope)), 0, 1)",event-driven,Haptics/HapticVocabulary.swift,max() of two scaled values; both deterministic from event payload.,Steeper attack envelope feels sharper; falls back to backend sharpness if slope is flat.
M081,haptic,structure,DropChoreography.onDropReleased,S25,Patterns voice,"playPattern(named: ""drop"")","loads Haptics/ahap/drop.ahap and engine.playPattern(from: url)",event-driven,Haptics/HapticVocabulary.swift,Drop trigger integrative-deterministic; pattern playback from static .ahap file.,Pre-authored haptic envelope syncs to the visual flash phase via a single shared callback.
