id,modality,what_you_see_or_feel,what_in_the_music_drives_it,how_we_measure_it,analysis_library,why_this_choice
E11,visual,Aurora ribbons cycle through colors faster when the song is energetic,Arousal — how energetic the music feels,Music emotion model scores arousal every half second,Backend emotion model,Faster motion = more energy is universal across cultures (used by film scoring and advertising). Color-cycle rate provides a continuous intensity meter.
E12,visual,Tiny sparkle specks high in the screen,"Ultra-high frequencies — cymbal sheen, hi-hat tip, vocal sibilance, shaker sparkle","Energy in the 10-20 kHz range from the Mel spectrogram",librosa.feature.melspectrogram,"Ultra-highs feel crystalline, prickly, cold — the same character as ice crystals or frost. Tiny bright points capture that perceptual quality far better than any geometric shape."
E13,visual,Specks float higher when the music is overall brighter,"Spectral centroid — the perceptual ""brightness"" of the sound (where energy sits in the frequency spectrum)","The ""center of mass"" of the frequency spectrum, computed every frame","librosa.feature.spectral_centroid — a well-established psychoacoustic brightness measure","Brighter sound is perceived as ""higher"" (we say ""bright as a bell"", ""high notes""). Specks rising in the screen as brightness rises is a direct sensory analog."
E14,visual,Bright particles erupt at a position determined by the hit's character — kick drums burst near the floor; hi-hats flash near the sky,"Drum hits and percussive attacks (called ""onsets"" in audio analysis)","Onset detection algorithm finds moments when a new note/hit begins; the spectral brightness at that moment determines the vertical position","librosa.onset.onset_detect — the same onset detection used in DJ software and beat-grid editors",Percussive attacks are kinetic and brief — particle bursts capture both. Bass-heavy hits mapping low and bright hits mapping high makes the kick-vs-cymbal distinction visible.
E15,visual,Sharper hits produce denser particle bursts,Attack sharpness — how abruptly a note starts,The onset event includes a measurement of how steeply the volume rises at the attack,librosa.onset.onset_detect with attack-envelope features,A snare hit feels more startling than a soft mallet strike; the difference is visible as more vs fewer particles.
E16,visual,On a percussive hit in a tonal passage the particles take the song's key color; in a noisy passage they take a neutral accent color,"Whether the hit is happening during a clearly-pitched moment (e.g. a melodic strike) or a noisy moment (e.g. a clap)",Chroma strength — how strongly the music is in a recognizable key vs. just noise,librosa.feature.chroma_cqt (vector magnitude),"Pitched attacks ""ignite"" in the song's key; noisy attacks ignite in a neutral accent. Color encodes whether the hit is melodic or percussive."
E17,visual,A soft radial bloom that lifts from the center on each beat,The song's beat grid — when each tap of the rhythm lands,"Beat tracking estimates the underlying pulse of the music (the same algorithm class used in DJ software for beat-matching)",librosa.beat.beat_track,"A beat is emphasis, not a shape. A ""feeling of brightness"" in the center matches the felt punctuation of the rhythm without imposing a graphic primitive."
E18,visual,"On every fourth beat (the ""1"" of each measure), a wider ripple reaches the edges and picks up the song's key color","Downbeats — the strongest beat in each measure","Downbeat detection identifies which beats are the ""1"" vs the ""2, 3, 4""",librosa.beat.beat_track + downbeat heuristics,"Downbeats carry more weight in music theory (they're ""the one""); a wider ripple matches the felt weight, and tinting it with the key personalizes the emphasis."
E19,visual,Radial streaks point away from a moving anchor — when the melody rises the anchor moves up-right; when it falls down-left,Pitch direction — whether the melody is going up or down,"We track how the spectral brightness changes over time; a rising trend means rising pitch",Derived from librosa.feature.spectral_centroid (its time derivative),"We say ""the melody is going up"" — pitch direction is already a spatial metaphor in language. Rays pointing where the melody is going makes the metaphor literal."
E20,visual,Short angular slashes flash across the middle horizontal band on sudden spectral changes,"Spectral flux spikes — moments when the sound suddenly changes character (snare cracks, sample stabs, stuttery synth chops)","We compute how much the frequency content changes from frame to frame, then flag moments that exceed an adaptive threshold (mean + 1.8 standard deviations)",librosa.onset.onset_strength (the same flux measure that powers onset detection),"A sudden spectral change is a ""rupture"" — slashes read as ""something broke"" while round sparkles read as continuous shimmer. Distinct visual vocabulary keeps these events readable as a third event type, separate from beats and onsets."
E21,visual,"A subtle warping of the entire scene, like heat haze rising off pavement","Chaotic, high-energy moments — drops, dense climaxes, distortion-heavy passages",Spectral flux (rate of change) plus the drop state machine,librosa.onset.onset_strength + an internal drop detector,"Intense pressure literally distorts air (heat haze, shockwaves); applying the same effect to the scene preserves that physical analog."
E22,visual,"Subtle TV-static noise across the whole screen, intensifying during chaotic passages, with a cool blue tint when the music feels anxious or sad",Spectral disorder + emotional valence,Spectral flux plus emotion model valence,librosa.onset.onset_strength + emotion model,Disorder = noise; that's a direct audio-to-visual translation. Adding a cool tint during low-valence passages encodes anxiety/sadness without requiring a separate texture.
E23,visual,An iridescent oil-slick wash around the edges of the screen with up to 12 hue-stops corresponding to the 12 musical pitch classes,"The chord/key currently active. A C major chord paints C/E/G prominently; a tritone paints two opposite arcs.","The chroma vector — the strength of each of the 12 pitch classes — extracted from the audio every frame; each pitch class gets its own hue stop weighted by its chroma magnitude","librosa.feature.chroma_cqt — the standard pitch-class profile used in music key-detection algorithms","Musical key is colored light, not form — it should drive hue, not shape. An iridescent wash that appears when tonal and disappears when atonal lets the listener literally see harmony fade in and out."
E24,visual,A vertical bar on the left side of the screen with 12 color stops; the active stop glows,"The dominant pitch class of the moment (""the song is in F# right now"")",The chroma vector's strongest pitch class,librosa.feature.chroma_cqt,"A persistent dashboard indicator gives the deaf user a learnable, glanceable readout of the key — more direct than a tinted scene. 12 stops match the 12 pitch classes of Western music."
E25,visual,8 horizontal rungs stacked vertically on the left side; the active rung climbs as the music brightens,"Spectral centroid — perceptual brightness (where in the spectrum the energy lives)","librosa.feature.spectral_centroid, normalized per-track to the 5th-95th percentile range",librosa.feature.spectral_centroid,"A discrete brightness meter is the cleanest possible reading of ""where in the spectrum the energy lives"" — like a VU meter for brightness. 8 rungs match the 8 frequency bands."
E26,visual,A soft hexagonal mesh on the right side that crystallizes when the music is harmonic and dissolves when noisy,How organized vs chaotic the spectrum is,Harmonic-percussive ratio,librosa.effects.hpss,"Harmonic sound is structurally organized (overtones aligning to integer ratios); noise is structurally fragmented. A mesh that holds together vs falls apart is the most direct visual analog of ""structural integrity""."
E27,visual,"Soft warm glows in the top-left + bottom-right corners (warm diagonal) when the song feels positive; soft cool glows in the top-right + bottom-left corners (cool diagonal) when the song feels sad","Emotional valence (positive vs negative emotional tone)",Music emotion model scores the song's emotional positivity,Backend emotion model trained on labeled musical examples,"Valence is a slow scalar — it should appear as a persistent compositional weight, not a motion event. Warm-vs-cool color is a deeply learned cultural association with happy-vs-sad."
E28,visual,The corner glows open wider when the song is energetic and contract when it's calm,"Arousal — the song's energy/intensity level",Music emotion model scores arousal,Backend emotion model,Bloom radius scaling with energy lets the corners breathe with the song's intensity without crowding the scene.
E29,visual,The background of the entire scene gets brighter when the music is loud overall,Overall loudness,Root mean square of the audio waveform — the same loudness measure used by every audio level meter,librosa.feature.rms,"Brightness = loudness is one of the oldest cross-modal mappings (a ""loud"" color, a ""bright"" sound). Lifts the whole scene with the song's volume without requiring any specific texture to react."
E30,visual,"The scene composes differently depending on whether you're in the intro, verse, chorus, bridge, breakdown, drop, or outro — chorus mirrors horizontally; bridge rotates 12 degrees and shifts hue; breakdown desaturates and goes near-monochrome; drop super-saturates","Song structure — the named sections of a pop song",A music structure-segmentation algorithm identifies repeated sections and labels them,Backend section-segmentation (typically MSAF or a similar standard library),"Each section of a song has a different emotional function (intro builds, chorus declares, bridge wanders, drop releases, outro fades). The scene's composition shifts accordingly so the listener can read where they are in the song's arc."
E31,visual,"At the moment of a bass drop, the scene's color palette briefly inverts and a particle escape burst flies past the edges","The peak ""release"" moment of an EDM-style drop or a major climax","Drop state machine triggers on (a) entering a section labeled ""drop"" or (b) heuristic conditions firing simultaneously: high arousal AND high spectral flux AND high energy",Backend section labels + custom drop detector,"Drops are scored moments — the song's biggest payoff. A pre-authored choreography (palette flip + escape burst + heat distortion) gives the moment the felt drama it deserves."
E32,haptic,A continuous low rumble in the device that varies in intensity with the bass,Sub-bass + bass energy,Sum of energy in the 20-250 Hz range,librosa.feature.melspectrogram (bands 0-1),"Bass is felt physically in the body — a continuous haptic rumble reproduces that physical bass sensation directly. Capped intensity prevents the hum from masking sharper rhythmic events."
E33,haptic,"A strong, sharp tap on the strongest beat of each measure (the ""1"")","Downbeats — the structurally strongest beats",Beat tracking + downbeat detection,librosa.beat.beat_track,Downbeats anchor the listener's sense of rhythm; a stronger tap lets the deaf user feel the song's pulse and predict the next downbeat.
E34,haptic,"A lighter tap on the other beats in each measure (the ""2, 3, 4"")","Off-beats — the secondary beats in the measure",Same beat tracker,librosa.beat.beat_track,"Lighter taps preserve the felt difference between the strong ""1"" and the lighter ""2, 3, 4"" — the same dynamic that human drummers play."
E35,haptic,"A subtle secondary tap on percussive hits between beats — snare, claps, off-grid drum hits","Note onsets that aren't on the main beat grid",Onset detection + attack-slope features,librosa.onset.onset_detect,"A real drum kit isn't just kick-snare on beats; there's syncopation, rolls, fills. Onset taps add this granularity so the deaf user feels the full rhythmic detail, not just the metronome."
E36,haptic,A pre-authored haptic envelope (multi-event sequence) fires at the moment of a bass drop,The peak release moment of a drop or major climax,Drop state machine (same trigger as the visual drop choreography),Backend section labels + custom drop detector,"Drops are scored moments. A pre-authored, richer envelope (instead of a single tap) gives the haptic the same dramatic weight the visual gets."
